moving,n_entry_nodes,n_exit_nodes,n_core_nodes,n_paths,congestion
24,8,3,20,30,0.2659036098310292
10,7,3,30,15,0.16875567502986857
18,8,4,25,45,0.16941566820276494
24,6,2,25,45,0.13572268305171528
36,6,3,40,20,0.19897907066052226
16,2,2,40,25,0.03912096774193548
48,8,3,45,40,0.1912219946521022
30,4,9,15,40,0.335915685270524
20,7,4,25,45,0.19877357910906296
22,3,8,45,25,0.12358604995164132
40,3,9,25,20,0.2811477726574501
26,2,8,25,15,0.1732064516129032
2,3,5,20,35,0.018203405017921146
16,6,6,45,20,0.16549593218410422
4,2,4,30,20,0.027058286396996072
40,7,9,35,45,0.28696942432887135
30,4,9,35,35,0.19716611806012727
14,3,8,30,40,0.0883137054104796
6,4,6,20,25,0.08459126984126984
44,4,3,25,35,0.18999754224270352
40,2,4,45,5,0.11876378221539513
6,9,9,35,45,0.061067954063345774
46,5,6,40,10,0.2184244111623144
46,6,7,45,45,0.21951789270068836
46,2,3,40,15,0.07260829493087557
38,2,8,45,10,0.15399305911133868
48,6,6,10,5,0.43586610343061966
32,2,6,20,30,0.14831989247311828
32,4,8,45,15,0.1881773340160437
24,6,6,35,15,0.27475832053251403
2,9,6,10,35,0.05113901689708141
26,3,2,10,20,0.2716036866359447
4,8,7,25,25,0.08287690732206861
32,6,5,25,25,0.34790937019969276
2,6,4,10,30,0.03984664618535587
24,9,9,45,40,0.23450662797974625
34,6,7,35,15,0.29252351693365514
24,5,6,15,30,0.35605052056664954
14,2,4,40,25,0.04971326164874552
12,6,7,15,45,0.18026233145587983
12,6,5,20,15,0.21667191500256014
30,5,3,20,5,0.2880327700972863
32,4,2,25,10,0.2247290322580645
40,7,3,40,10,0.2818365975422428
30,5,3,10,5,0.4356269841269841
24,4,2,20,45,0.14356195596518176
10,3,2,40,40,0.043165770609319
40,2,4,35,20,0.10760456440640771
10,9,6,45,10,0.1784214029697901
48,2,2,10,15,0.1548387096774194
10,9,3,45,15,0.13780542754736302
24,5,3,45,20,0.1462557888149286
18,3,4,40,10,0.13464471326164879
14,9,5,10,25,0.33592191500256025
36,6,8,35,35,0.2780828030136786
6,2,4,15,25,0.08262843488649942
32,3,5,20,45,0.20218612391193036
40,6,9,10,30,0.6363573988735279
2,9,6,40,5,0.06495442908346136
16,2,3,45,20,0.05013699721226603
42,6,7,20,10,0.3772441116231438
16,4,4,45,15,0.12069016328156111
44,7,9,30,5,0.20487335722819597
14,4,8,20,25,0.19984818228366616
14,2,7,15,30,0.11836968766001024
14,7,7,20,25,0.2668983614951357
4,2,2,40,30,0.014620967741935482
26,4,3,25,5,0.25962171018945207
34,7,5,10,25,0.5164912954429083
18,9,8,25,35,0.2684633896569381
12,4,4,30,40,0.0894078341013825
2,3,6,15,35,0.020747397166752005
22,5,4,35,20,0.20026018579474802
6,4,8,35,45,0.046343354546119535
40,5,2,10,25,0.3501341525857655
40,3,3,35,10,0.19179335820349644
24,2,3,25,15,0.0792652329749104
6,6,3,20,35,0.06615821812596007
44,8,8,40,20,0.37413370455709166
2,8,4,45,40,0.013888831996358878
48,4,6,35,20,0.30249937824592205
6,4,8,25,30,0.08848223246287763
10,6,7,25,45,0.11871285202252943
6,6,5,25,45,0.050001126472094225
2,5,7,45,30,0.01203794731751721
34,6,3,25,25,0.3109890424987199
4,2,2,35,30,0.015548825982005705
48,7,9,35,40,0.32631848438300043
28,6,8,15,30,0.36000017067759
10,9,5,40,5,0.1812697132616487
24,7,8,35,45,0.19558518030868263
28,3,9,25,20,0.2698750640040963
12,9,3,15,5,0.33594487113841953
4,6,6,20,35,0.06475652841781875
34,5,5,35,45,0.214956257771926
40,4,2,30,40,0.12025507765830348
36,5,6,20,40,0.2973257808499744
18,5,4,40,15,0.16876580901177676
34,7,3,40,35,0.18149423963133643
10,2,3,15,10,0.06526267281105991
24,6,5,30,45,0.18316111964499066
26,5,3,20,25,0.2342474398361495
16,4,9,35,45,0.10291317387169921
34,2,9,30,20,0.1551637651476361
24,2,4,40,25,0.06734773425499231
10,4,4,10,5,0.38169815668202767
30,2,4,10,35,0.2732275985663083
30,4,9,15,20,0.38189383853899983
24,6,7,45,10,0.2384446151220345
2,9,4,25,25,0.03834121863799283
24,4,2,25,15,0.1531764464925755
44,7,8,15,5,0.4108020139955623
10,8,6,25,25,0.2016431131592422
14,2,2,40,10,0.07265572196620583
8,3,8,45,25,0.06234254992319508
46,5,8,30,20,0.42453746373101214
38,3,4,40,25,0.11994239631336406
8,4,9,40,20,0.07693177163338454
34,6,2,40,35,0.1505350102406554
44,4,8,10,5,0.3969139784946236
16,8,8,15,30,0.31898668714797757
12,6,7,40,35,0.13632763696876601
16,3,7,45,15,0.10847163907378961
12,2,4,10,30,0.16741321044546853
28,2,4,40,20,0.08520065284178187
2,9,8,40,25,0.02601395289298515
36,2,3,30,40,0.07926856118791602
2,2,7,45,15,0.013927348239176195
48,5,4,15,15,0.5246001024065541
48,5,7,20,15,0.4743821044546851
44,2,4,15,35,0.16492899812254652
18,8,7,25,20,0.29481177675371223
44,4,2,20,10,0.2318673835125448
14,2,6,15,5,0.25141816009557943
4,2,6,40,5,0.05153827444956476
4,9,4,30,25,0.0727915173237754
42,8,8,20,40,0.43513901689708134
32,9,6,40,10,0.3132915386584741
28,6,9,25,15,0.37349022017409117
28,5,5,35,35,0.16059849316070512
20,3,7,40,20,0.14798335893497183
22,3,7,40,45,0.10366314644137224
2,6,2,20,40,0.02932603686635945
4,8,3,10,35,0.1111226318484383
36,2,9,45,25,0.09580667918302327
6,6,2,20,5,0.12801433691756273
20,5,6,30,20,0.17012587472264892
4,7,2,25,30,0.039002355350742444
6,9,5,45,5,0.11389196108550946
38,4,5,20,45,0.2897547363031234
44,9,3,35,15,0.3449346792480433
4,5,2,15,10,0.0871689708141321
38,6,5,45,25,0.2395294987768106
32,5,2,40,30,0.10609197388632874
30,7,2,40,10,0.19184683819764467
32,4,5,30,35,0.1732636115378051
26,4,9,15,20,0.35461512203447687
20,8,9,15,5,0.40491841611196455
22,9,9,45,45,0.19933902258633446
36,7,7,20,20,0.47758384536610343
28,9,9,20,20,0.48113274449564775
16,2,7,30,5,0.08396006144393241
38,9,7,40,20,0.3526285842293907
4,3,8,30,35,0.026215736473800984
20,4,8,15,25,0.31584809694487115
40,4,9,30,45,0.27348199351425156
10,6,4,30,45,0.08036337258917906
4,6,7,10,10,0.1600289298515105
2,3,8,20,25,0.024694444444444446
22,5,7,25,25,0.21480604198668715
38,4,5,25,35,0.22647588325652843
10,6,2,20,30,0.10305133128520226
12,2,4,40,25,0.04841180235535073
6,6,9,25,15,0.1558121863799283
22,4,8,40,25,0.2041868919610855
38,2,3,15,5,0.19756664959890763
46,9,7,35,15,0.3966758832565284
20,7,5,30,10,0.3422972350230415
48,2,5,35,45,0.08551430034379344
28,2,7,30,35,0.10585919098822325
20,6,9,45,10,0.20565312624452406
22,5,7,25,25,0.22666881720430104
10,8,7,45,20,0.1668691471809751
28,2,9,45,25,0.10150696933492633
32,8,4,20,15,0.4008480542754736
40,7,8,20,20,0.5097506400409626
8,5,2,30,15,0.0838900836320191
16,2,2,15,35,0.11335483870967741
6,2,3,35,30,0.017523297491039425
34,8,8,40,45,0.2702571684587814
44,9,3,15,45,0.4167033623485235
44,9,5,35,5,0.2274570989686197
38,6,8,15,45,0.41916862945895195
48,8,3,20,25,0.479100102406554
12,9,8,20,40,0.206110599078341
4,3,4,45,25,0.023643909654662343
22,3,8,40,10,0.19478424219150026
30,7,3,20,40,0.2839454685099846
6,3,7,45,10,0.06991596973317404
10,7,9,10,45,0.23230901177675373
6,8,6,45,35,0.047903339591511634
4,6,5,20,30,0.05959677419354838
28,3,9,25,5,0.22481863799283155
14,3,7,45,35,0.07280923934687375
10,7,4,30,5,0.1918028673835126
24,3,6,45,40,0.08307111566251352
18,2,4,15,45,0.13442293906810035
30,3,3,15,30,0.16710343061955962
30,6,7,15,25,0.4717794845536781
6,7,5,40,35,0.04665988223246287
2,7,4,35,20,0.02552198083534489
46,2,2,20,10,0.08620071684587811
26,3,5,25,45,0.13238924731182794
12,8,6,30,20,0.19626881720430112
12,2,7,20,45,0.08201011264720943
38,9,6,30,5,0.27076267281106
16,3,6,20,10,0.2540779569892473
2,5,8,15,5,0.07165983956306536
26,4,6,15,20,0.34562177846048814
48,5,9,40,5,0.23822055811571938
38,6,3,10,10,0.5502639528929852
26,9,2,40,45,0.15121473374295952
4,7,6,25,10,0.09338197644649256
34,3,3,30,25,0.10752167605393412
36,4,8,30,45,0.21672435569209764
46,7,4,30,35,0.34096040279911255
8,2,3,15,30,0.10128554360812424
40,9,7,15,30,0.5778909370199693
22,6,3,45,40,0.10546833930704898
10,3,2,40,15,0.06983467741935485
2,6,7,30,45,0.022156511350059735
22,4,6,40,5,0.17103699436763953
6,2,3,45,5,0.05147186664390965
44,6,2,35,30,0.18889437495428277
28,2,4,25,20,0.12868643113159242
34,2,9,25,35,0.16321341525857658
10,8,9,40,30,0.1476068868407578
34,2,2,40,5,0.05651209677419354
42,3,9,30,25,0.2328490356716163
6,9,3,45,45,0.0473331057632133
42,5,3,30,35,0.22536917562724013
46,8,3,40,35,0.22542121095750128
32,6,8,45,5,0.19189235933321952
6,8,6,30,20,0.11489725209080047
30,3,2,10,30,0.19825806451612904
10,9,3,40,40,0.08735746287762414
48,4,8,20,30,0.39451395289298524
32,5,3,30,35,0.2210681003584229
18,5,9,45,20,0.22841554303919892
46,5,8,40,25,0.3042266385048643
14,4,3,40,30,0.06882277265745007
20,5,4,25,15,0.2372213005632361
38,4,9,40,5,0.16026305683563746
40,4,4,25,5,0.2575114183307731
14,3,9,15,45,0.15831660692951013
24,3,2,25,35,0.09418125960061446
8,7,7,10,15,0.2106743471582181
46,5,2,45,45,0.10393940945553848
14,9,5,10,20,0.45970916538658474
16,6,2,20,45,0.14509165386584744
34,6,9,35,45,0.27875685758174235
32,9,2,30,35,0.21050529100529103
12,7,6,30,5,0.1921767366444786
16,3,7,45,15,0.11763514820504067
32,2,9,45,20,0.13524076918700575
6,8,2,30,30,0.061969875405359275
28,5,3,45,45,0.11275496387324344
8,8,2,45,30,0.05565124879103373
36,7,4,20,35,0.3254824628776242
22,8,2,10,40,0.347642345110087
46,2,5,25,5,0.16755002560163848
8,6,8,20,5,0.2902945468509984
32,6,3,45,15,0.21185902031063314
36,6,5,25,15,0.3629146953405017
14,9,2,45,35,0.08796438527621324
36,3,8,15,35,0.3033800989930022
30,5,7,15,5,0.3430513739545998
20,4,2,30,10,0.13458448540706605
30,5,6,30,30,0.24843531319337772
40,7,3,30,30,0.2645321727257211
46,6,3,20,30,0.29524385560675875
24,3,2,10,20,0.25360215053763446
18,6,3,35,30,0.12909560383293103
30,6,8,10,10,0.46717357910906293
32,2,2,40,20,0.04825652841781874
28,3,7,10,45,0.34373630312339987
32,7,7,45,30,0.23618046310519428
42,4,2,30,35,0.14590954087728283
36,4,7,20,15,0.35725422427035336
40,6,3,30,10,0.28675925925925927
10,3,9,40,10,0.12418996415770608
10,6,2,20,5,0.19523079877112134
34,6,7,45,40,0.22492268305171528
48,6,9,20,25,0.4689622375832053
30,4,9,25,30,0.2821888376856118
12,6,9,40,5,0.17927963389656937
22,3,8,15,35,0.21726130739033966
28,2,3,35,20,0.0686002487016312
32,4,5,35,20,0.2022899568429522
8,3,5,40,40,0.040337941628264214
26,6,3,45,10,0.24575502076577344
6,4,4,10,20,0.15940783410138246
4,7,6,45,45,0.030939637025658526
2,2,6,10,25,0.02098668714797747
8,7,2,40,5,0.10929121863799283
48,8,4,25,15,0.4487864823348694
16,8,4,15,45,0.2353493770267964
20,6,8,30,10,0.3172504693633726
32,6,9,25,30,0.35462345110087046
4,8,5,40,25,0.04550531233998976
26,4,8,40,10,0.24793349974398365
24,8,7,15,45,0.3043225806451613
36,7,9,30,40,0.36907526881720437
42,6,3,45,15,0.2589478295499801
46,8,2,25,20,0.2962065540194572
24,3,4,10,10,0.4008166922683052
38,9,3,45,40,0.19194208340444902
12,9,3,45,40,0.07706235421289184
44,6,8,35,30,0.3355666739814205
34,4,2,30,10,0.23684869431643626
20,3,3,10,10,0.3237508960573476
10,9,3,10,5,0.33306963645673315
18,2,3,45,10,0.06651146384479717
2,2,3,25,40,0.015409523809523814
46,7,9,45,15,0.3231506514194686
40,7,9,40,30,0.31842549923195085
16,8,6,35,20,0.23646024431277887
44,3,6,25,20,0.25057501280081923
20,4,5,15,20,0.2816958525345622
26,6,8,30,25,0.28200238948626044
20,4,7,30,10,0.2503953746373101
40,8,2,45,45,0.13237219093133074
46,5,4,25,35,0.2574183307731695
44,2,4,40,15,0.10525851254480288
40,3,8,20,25,0.31365732206861247
16,8,2,10,10,0.30381131592421917
6,9,5,10,5,0.42457091653865847
12,7,2,25,40,0.10190906298003073
42,7,8,25,15,0.4075495135688684
6,9,7,10,45,0.14997695852534562
36,3,6,40,40,0.13133499743983615
28,9,3,45,25,0.20137099618820048
44,3,4,15,40,0.2485046936337259
18,7,9,10,10,0.5883399897593445
40,4,6,35,45,0.1757722917123839
10,7,5,25,15,0.20345796210957504
2,3,9,25,45,0.017623553507424478
12,6,6,20,30,0.1615462109575013
10,5,8,40,15,0.17567057091653865
40,4,3,10,5,0.4560322580645162
46,4,9,25,5,0.28113026113671274
14,9,6,10,20,0.4512603686635944
46,3,2,10,20,0.28070250896057347
32,5,4,25,15,0.32192657450076806
14,3,8,35,40,0.09183059030063638
18,9,3,30,35,0.1562878477555897
8,8,7,35,5,0.1777786555482408
2,6,6,20,35,0.020382872503840247
4,2,7,20,30,0.02214656938044035
42,3,5,30,40,0.1760395972008875
38,9,6,20,20,0.4856026625704045
44,8,7,35,5,0.24830173359666452
2,5,8,20,5,0.05545314900153611
18,8,5,20,30,0.2595820532514081
16,7,7,25,25,0.22991920122887863
2,5,5,40,30,0.012378840245775732
24,2,8,25,40,0.1298257040450589
20,9,7,10,20,0.5456257040450588
22,6,6,30,10,0.2838687489332651
22,3,4,40,5,0.14204141065028164
24,8,9,20,5,0.3222612647209421
34,8,6,15,35,0.4279547704386414
12,4,9,30,35,0.12144367639528929
20,5,3,30,40,0.10897030209933437
12,3,3,40,25,0.05511872759856631
38,9,6,35,45,0.2932206861239119
2,2,8,20,5,0.049227854582693305
30,8,9,20,15,0.42915770609318993
28,6,3,15,15,0.3942852022529443
32,4,4,40,10,0.17702003328213003
10,3,8,35,45,0.05180089239997073
18,7,7,40,45,0.1576379288274449
26,5,5,40,25,0.18960816692268306
10,8,9,45,30,0.1385717130340786
22,5,6,30,15,0.25958730158730164
42,8,3,40,20,0.32265725806451606
36,4,2,30,5,0.21295391705069122
40,7,5,20,15,0.44773399897593447
8,9,2,30,5,0.16589759344598054
22,7,3,45,15,0.18282846902201744
10,5,7,10,15,0.2516669226830517
14,9,8,25,15,0.3365219662058372
6,6,7,10,20,0.21729595494111617
4,2,6,30,25,0.01815693804403482
32,8,4,25,30,0.31103635432667687
38,2,3,45,25,0.0717337429595494
32,5,8,45,20,0.2530543323661603
48,7,8,20,45,0.4208333333333333
32,9,4,25,15,0.368484280593958
14,8,5,35,30,0.15015397556872215
34,2,8,10,10,0.445315668202765
2,5,7,30,5,0.04635407066052228
12,2,2,30,45,0.03683256528417818
22,2,4,10,40,0.20443548387096772
38,5,8,45,20,0.25624657222506686
18,8,6,20,35,0.2470545314900153
26,3,6,30,40,0.14100810718552653
18,6,9,35,35,0.17760719771779682
38,2,5,35,15,0.11648460244312778
28,2,2,15,35,0.12023655913978495
32,6,6,30,20,0.31906059054446145
2,8,4,20,10,0.06643010752688171
22,9,8,45,35,0.212710758377425
10,8,9,10,40,0.31179160266257044
22,6,6,45,30,0.18157461455310916
36,9,7,45,35,0.27793104625362686
12,4,7,45,25,0.1034678272742789
22,6,7,40,45,0.1439352278545827
14,9,8,15,30,0.3452203447687318
42,7,2,25,40,0.2572358422939068
44,8,8,40,20,0.31435349462365597
34,7,5,25,35,0.3128428059395801
36,5,7,15,35,0.3602333162655743
2,3,3,40,5,0.04217556323604711
42,6,7,10,15,0.575031746031746
22,8,9,25,35,0.33921495135688673
44,2,2,35,35,0.0552258064516129
16,7,9,25,35,0.18590066564260108
18,3,2,20,30,0.10718586789554534
16,2,4,25,35,0.05641720430107528
